Идентификатор объекта;Адрес недвижимости;Тип недвижимости;Площадь объекта;Цена;Количество комнат;Состояние объекта;Контактные данные собственника;Статус объекта;Дата добавления информации
1;п. Пушкин, бул. Промышленный, д. 9 стр. 1/5, 179868;земельный участок;167;19151015;1;жилое;8 (309) 340-7943;продается;28.05.2021
2;с. Алагир, пр. Коммунальный, д. 5/4 к. 56, 416934;дом;70;5745039;5;новостройка;70 900 712 974;сдается;28.04.2022
3;ст. Магадан, алл. Производственная, д. 2/3 к. 5, 202970;квартира;149;17459689;4;жилое;+7 (627) 681-57-05;продается;22.05.2022
4;к. Анадырь, бул. Студенческий, д. 464 стр. 40, 361189;квартира;125;18984593;4;новостройка;80219030499;продается;03.08.2022
5;г. Жуковский, ул. Мая 1, д. 7/8, 114853;земельный участок;49;14896352;2;новостройка;8 (055) 081-17-73;продается;09.08.2020
6;д. Юровск, ш. Сосновое, д. 486 стр. 4/6, 056916;квартира;28;18104892;4;жилое;84265408390;продается;03.05.2021
7;г. Дивногорск, ш. Краснофлотское, д. 9/3 к. 5/6, 497509;земельный участок;71;1847964;1;жилое;88338249106;продается;03.12.2022
8;клх Тулпан, пр. Покровский, д. 68 стр. 425, 019399;земельный участок;176;12569815;2;жилое;84 206 492 536;зарезервирован;25.04.2021
9;г. Чермоз, ул. Островского, д. 8 к. 6, 078450;земельный участок;135;15988421;1;требует ремонта;89 473 494 469;продается;03.11.2021
10;к. Ирбит, пр. Комарова, д. 29 стр. 394, 843169;дом;116;9808640;5;жилое;+7 (886) 657-5812;продается;28.04.2021
11;п. Домбай, ул. Верхняя, д. 5, 909732;квартира;120;6828330;4;новостройка;87 176 959 337;зарезервирован;06.08.2021
12;к. Йошкар-Ола, алл. Семашко, д. 88, 710832;земельный участок;108;4253899;5;требует ремонта;88193717819;зарезервирован;25.09.2020
13;г. Ухта, ш. Вахитова, д. 3/6, 438201;квартира;84;11039167;5;новостройка;72881402958;продается;17.08.2021
14;г. Гатчина, алл. Зеленая, д. 283, 412966;квартира;177;5807382;3;жилое;88163839978;зарезервирован;28.08.2021
15;д. Руза, алл. Шмидта, д. 402 к. 63, 875303;квартира;77;7433837;5;требует ремонта;83 809 104 515;продается;15.09.2021
16;клх Серпухов, ул. Смоленская, д. 744 стр. 978, 088785;квартира;68;12479044;1;требует ремонта;80 113 459 039;продается;29.05.2023
17;ст. Петухово, ш. Трактовое, д. 92 к. 8/6, 500542;дом;199;1030184;5;новостройка;8 (859) 229-1248;продается;25.01.2021
18;клх Серафимович, бул. Лазурный, д. 8 к. 170, 098307;земельный участок;182;10875564;1;новостройка;+7 (371) 909-51-63;зарезервирован;09.09.2021
19;д. Дно, наб. Колхозная, д. 6/1 стр. 8, 382179;квартира;164;6814336;2;требует ремонта;+7 (463) 036-3183;сдается;15.08.2022
20;г. Алексин, бул. Гастелло, д. 39 стр. 2/4, 279123;земельный участок;152;16074997;4;требует ремонта;76 564 328 254;продается;17.04.2023
21;п. Хоста, наб. Московская, д. 97, 731693;квартира;31;5532228;3;жилое;8 (569) 259-7780;продается;24.02.2023
22;клх Лысьва, ул. Некрасова, д. 704 к. 1, 435417;земельный участок;63;6203595;5;жилое;84132302065;продается;09.02.2023
23;к. Ханты-Мансийск, наб. Прохладная, д. 269, 301008;квартира;58;2664145;1;требует ремонта;8 (750) 257-5647;зарезервирован;08.04.2022
24;клх Завьялиха, бул. Глинки, д. 2/8 стр. 1/2, 249918;земельный участок;73;6685137;5;требует ремонта;71 751 616 569;зарезервирован;05.01.2021
25;к. Усть-Кулом, ш. Жукова, д. 408 к. 167, 908323;квартира;32;8311022;3;требует ремонта;86 370 228 733;зарезервирован;20.01.2021
26;с. Сочи, алл. Комарова, д. 8/1 к. 248, 723905;квартира;104;15227983;1;новостройка;+7 (711) 957-23-70;зарезервирован;23.09.2020
27;ст. Щелково, бул. Портовый, д. 5/4 стр. 3/7, 150323;земельный участок;196;9581254;2;жилое;70 479 395 065;сдается;11.03.2021
28;г. Серебряные Пруды, алл. Физкультурная, д. 532 стр. 375, 637783;земельный участок;184;2520506;4;жилое;78 604 055 911;зарезервирован;09.01.2022
29;клх Елатьма, алл. Клары Цеткин, д. 60 стр. 2, 622991;дом;76;3750880;3;жилое;72507971552;продается;07.09.2021
30;ст. Баксан, алл. Торговая, д. 21 к. 2, 945060;квартира;136;17379453;4;требует ремонта;+7 259 970 23 11;сдается;25.07.2022
31;д. Юрьев-Польский, ш. Парковое, д. 5 стр. 21, 340411;дом;97;1215263;2;требует ремонта;82 417 161 320;продается;21.09.2021
32;п. Кажим, ул. Российская, д. 244 стр. 533, 885205;квартира;67;3829912;1;новостройка;8 (020) 239-0291;сдается;04.02.2021
33;г. Шуя, ул. Станиславского, д. 482, 398826;земельный участок;136;8207012;3;новостройка;79 022 631 529;сдается;25.04.2021
34;п. Поярково, пер. 1 Мая, д. 71, 584109;дом;103;6936084;2;жилое;82280029701;сдается;26.01.2022
35;д. Грозный, наб. Западная, д. 68, 953990;квартира;200;11022282;4;жилое;81 530 156 849;сдается;07.08.2021
36;к. Королев, ул. Петровская, д. 854 стр. 8/9, 933152;квартира;198;8332742;3;жилое;84774060608;продается;28.03.2023
37;п. Абакан, наб. Котовского, д. 9, 678987;квартира;37;1040659;1;новостройка;8 948 509 57 66;продается;05.08.2021
38;к. Тулпан, ш. Тупиковое, д. 3 стр. 6/8, 494595;дом;59;10990145;2;жилое;8 273 602 48 16;зарезервирован;26.01.2021
39;п. Мценск, пр. Ясный, д. 81, 591380;квартира;35;17588655;1;жилое;8 375 929 75 87;зарезервирован;15.03.2022
40;с. Майкоп, наб. Высоцкого, д. 9/3 к. 49, 104980;дом;194;2200770;5;новостройка;+7 (726) 167-4258;сдается;18.05.2022
41;ст. Псебай, ул. Проточная, д. 42 стр. 356, 412487;дом;161;5482975;4;требует ремонта;89807271593;зарезервирован;21.09.2021
42;к. Сосьва (Хант.), бул. Дальневосточный, д. 6/7 к. 5/8, 886818;земельный участок;181;16946692;3;жилое;8 963 621 42 94;продается;17.06.2021
43;г. Томари, ш. Дарвина, д. 261, 270748;дом;154;9277553;4;требует ремонта;8 116 895 38 58;сдается;02.08.2020
44;ст. Амурск, пр. Новый, д. 73 к. 1, 025665;квартира;84;8443570;3;новостройка;8 (728) 106-96-25;продается;22.09.2022
45;клх Холмск, пр. Рыбацкий, д. 765 стр. 5, 783939;квартира;147;11736390;3;жилое;73 105 735 612;сдается;09.12.2020
46;к. Медногорск, ул. Запрудная, д. 64 к. 22, 564261;квартира;67;3545396;2;требует ремонта;8 (073) 312-84-22;продается;04.03.2021
47;д. Мичуринск, ул. Сиреневая, д. 3/5, 601074;земельный участок;72;7719844;1;новостройка;+7 (959) 850-92-32;сдается;26.05.2022
48;клх Балашов, пр. Маркса, д. 9 к. 79, 704219;квартира;45;2797510;3;требует ремонта;+7 282 095 40 73;зарезервирован;06.07.2022
49;ст. Кырен, алл. Серафимовича, д. 2/5 стр. 35, 806953;дом;117;3314306;2;новостройка;88872731812;зарезервирован;31.03.2021
50;ст. Ноябрьск, ул. Донская, д. 478, 727885;земельный участок;130;2131071;2;жилое;86244744852;зарезервирован;31.05.2022
51;к. Сосногорск, наб. Курчатова, д. 21, 701339;квартира;135;12282563;5;требует ремонта;+7 (982) 617-8346;сдается;25.03.2021
52;к. Барнаул, бул. Байкальский, д. 147, 795359;земельный участок;145;12110427;2;жилое;8 664 816 09 92;зарезервирован;28.01.2022
53;д. Салават, пр. Тракторный, д. 8/9 стр. 7, 019833;дом;58;11624101;4;требует ремонта;8 659 398 04 39;продается;26.06.2021
54;д. Льгов, алл. Коммунальная, д. 7/4, 886471;квартира;99;3187943;4;жилое;8 400 956 45 57;сдается;17.12.2021
55;д. Курильск, пр. Папанина, д. 5 к. 8, 138326;квартира;28;16165295;1;требует ремонта;83 155 969 926;продается;17.01.2023
56;п. Таштагол, алл. Окружная, д. 4/1 к. 47, 820333;земельный участок;196;13340236;1;жилое;8 (466) 820-6586;сдается;24.12.2020
57;к. Ярославль, пр. Виноградный, д. 2 к. 5/4, 528473;квартира;141;7710130;2;требует ремонта;+7 170 480 80 14;сдается;17.05.2021
58;ст. Сургут (Хант.), ш. Родниковое, д. 4/7, 065055;дом;187;10394724;4;новостройка;80524902849;продается;03.06.2023
59;д. Новгород Великий, алл. Мелиоративная, д. 138 стр. 2, 299908;земельный участок;132;12372029;2;новостройка;+7 (077) 466-3214;продается;08.05.2021
60;п. Шелагонцы, наб. Камская, д. 7 к. 3/4, 437967;земельный участок;64;15130287;5;требует ремонта;+7 881 493 73 58;сдается;17.09.2020
61;г. Гремячинск (Перм.), бул. Малый, д. 924 стр. 7/7, 156647;квартира;154;3189340;2;новостройка;8 645 831 56 87;зарезервирован;08.11.2021
62;г. Выборг, ш. Колхозное, д. 54, 882909;дом;111;10664545;1;новостройка;8 (437) 576-7383;сдается;01.07.2022
63;п. Печора, ул. Крымская, д. 25 к. 5, 258465;квартира;79;3309032;1;требует ремонта;+7 (196) 231-10-08;сдается;05.07.2021
64;с. Алексин, бул. Надежды, д. 156 стр. 9, 371903;дом;111;7333839;1;новостройка;+7 (877) 586-6736;зарезервирован;01.09.2022
65;к. Усолье Сибирское, пр. Ключевой, д. 9, 628422;квартира;183;1619965;4;новостройка;89240015652;продается;07.01.2021
66;клх Цимлянск, бул. 50 лет Победы, д. 6, 229831;квартира;84;19985968;2;требует ремонта;+7 867 073 99 66;сдается;08.09.2021
67;г. Троицк (Моск.), наб. Моховая, д. 3/6, 973506;квартира;155;8454761;5;требует ремонта;80795270316;сдается;02.02.2023
68;д. Ачхой Мартан, наб. Ростовская, д. 8 стр. 7, 916540;квартира;158;16163290;1;требует ремонта;+7 (616) 073-54-09;зарезервирован;06.05.2022
69;ст. Ковров, бул. Ленский, д. 8/8, 396614;квартира;36;15846412;5;новостройка;84 625 266 219;зарезервирован;28.11.2022
70;клх Тимашевск, пер. Промышленный, д. 137 к. 63, 531060;дом;163;18733671;1;жилое;75983507542;зарезервирован;12.10.2021
71;ст. Юрьевец (Иван.), ш. Шишкина, д. 16, 638188;земельный участок;123;12471843;4;жилое;8 (748) 307-55-11;продается;30.05.2021
